cluster,Alveolar_macrophages;lung,Astrocytes;brain,B_cells;adipose_tissue,B_cells;bone_marrow,B_cells;breast,B_cells;liver,B_cells;lung,B_cells;muscle_organ,B_cells;spleen,Basal_cells;breast,Basal_cells_of_epidermis;skin_of_body,Basal_cells_of_epidermis;tongue,Basophils;bone_marrow,Bergmann_glial_cells;brain,Bladder_cells;urinary_bladder,Bladder_urothelial_cells;urinary_bladder,Blood_cells;trachea,Brain_pericytes;brain,Cardiomyocytes;heart,Cardiomyocytes;vasculature,Ciliated_columnar_cells_of_tracheobronchial_tree;lung,Classical_monocytes;lung,Common_lymphoid_progenitors;bone_marrow,Dendritic_cells;spleen,Double-negative_thymic_pro-T_cells;thymus,Ductal_epithelial_cells;liver,Early_pro-B_cells;bone_marrow,Epithelial_brush_cells;colon,Fraction_A_pre-pro_B_cells;bone_marrow,Kupffer_cell;liver,Langerhans_cell;tongue,Not_Annotated;adipose_tissue,Not_Annotated;heart,Not_Annotated;lung,Not_Annotated;muscle_organ,Not_Annotated;trachea,Not_Annotated;vasculature,Slamf1-negative_multipotent_progenitor_cells;bone_marrow,Slamf1-positive_multipotent_progenitor_cells;bone_marrow,T_cells;adipose_tissue,T_cells;bone_marrow,T_cells;breast,T_cells;lung,T_cells;muscle_organ,T_cells;spleen,collecting_duct_epithelial_cells;kidney,colon_epithelial_cells;colon,colon_goblet_cells;colon,endocardial_cells;heart,endocardial_cells;vasculature,endothelial_cells;adipose_tissue,endothelial_cells;brain,endothelial_cells;breast,endothelial_cells;heart,endothelial_cells;kidney,endothelial_cells;muscle_organ,endothelial_cells;pancreas,endothelial_cells;trachea,endothelial_cells;urinary_bladder,endothelial_cells;vasculature,enterocytes;colon,enteroendocrine_cells;colon,epidermal_cells;skin_of_body,epithelial_cells;trachea,epithelial_cells_of_proximal_tubule;kidney,erythroblasts;bone_marrow,erythrocytes;vasculature,fibroblasts;heart,fibroblasts;vasculature,granulocyte_monocyte_progenitor_cells;bone_marrow,granulocytes;bone_marrow,granulocytopoietic_cells;bone_marrow,hematopoietic_precursor_cells;bone_marrow,hepatocytes;liver,immature_B_cells;bone_marrow,immature_NK_T_cells;bone_marrow,immature_T_cells;bone_marrow,immature_T_cells;thymus,immature_natural_killer_cells;bone_marrow,keratinocyte_stem_cells;skin_of_body,keratinocytes;tongue,kidney_capillary_endothelial_cells;kidney,kidney_cells;kidney,late_pro-B_cells;bone_marrow,leukocytes;heart,leukocytes;kidney,leukocytes;liver,leukocytes;lung,leukocytes;pancreas,leukocytes;skin_of_body,leukocytes;thymus,leukocytes;urinary_bladder,loop_of_Henle_ascending_limb_epithelial_cells;kidney,luminal_epithelial_cells_of_mammary_gland;breast,lung_endothelial_cells;lung,lung_epithelial_cells;lung,lymphocytes;muscle_organ,macrophages;bone_marrow,macrophages;brain,macrophages;breast,macrophages;kidney,macrophages;muscle_organ,macrophages;spleen,mast_cells;lung,mature_natural_killer_cells;bone_marrow,megakaryocyte-erythroid_progenitor_cells;bone_marrow,mesangial_cells;kidney,mesenchymal_cells;trachea,mesenchymal_stem_cells;muscle_organ,mesenchymal_stem_cells_of_adipose;adipose_tissue,microglia;brain,monocytes;bone_marrow,monocytes;lung,myeloid_cells;adipose_tissue,myeloid_cells;lung,myofibroblasts;heart,naive_B_cells;bone_marrow,natural_killer_cells;adipose_tissue,natural_killer_cells;liver,natural_killer_cells;lung,natural_killer_cells;spleen,neuroendocrine_cells;trachea,neurons;brain,non-classical_monocytes;lung,oligodendrocyte_precursor_cells;brain,oligodendrocytes;brain,pancreatic_A_cells;pancreas,pancreatic_D_cells;pancreas,pancreatic_PP_cells;pancreas,pancreatic_acinar_cells;pancreas,pancreatic_beta_cells;pancreas,pancreatic_ductal_cells;pancreas,pancreatic_stellate_cells;pancreas,pre-natural_killer_cells;bone_marrow,precursor_B_cells;bone_marrow,proerythroblasts;bone_marrow,professional_antigen_presenting_cells;vasculature,promonocytes;bone_marrow,proximal_straight_tubule_epithelial_cells;kidney,regulatory_T_cells;bone_marrow,sinusoidal_endothelial_cells;liver,skeletal_muscle_satellite_cells;muscle_organ,skeletal_muscle_satellite_stem_cells;muscle_organ,smooth_muscle_cells;heart,stem_cells_of_epidermis;skin_of_body,stromal_cells;breast,stromal_cells;lung,type_II_pneumocytes;lung
Alveolar_macrophages;lung_TRUE,25.453465355457602,21.02094414746524,28.651512348732872,28.651512348732872,28.651512348732872,28.651512348732872,28.651512348732872,28.651512348732872,28.651512348732872,9.716045723067246,8.837937590663417,8.837937590663417,10.907504944875837,18.609281840520925,0.828916961559351,0.0,21.292055961792027,6.491083240406453,18.159464251536175,18.159464251536175,0.9923484402074331,32.95179386564356,15.706120040710422,31.756925071624742,17.168666056489602,21.1733842967645,4.291717323358508,0.0,2.573923186288364,27.185793941673158,10.788088458193387,0.0,0.0,0.0,0.0,0.0,0.0,25.925122880169017,25.925122880169017,34.331775781739026,34.331775781739026,34.331775781739026,34.331775781739026,34.331775781739026,34.331775781739026,21.1733842967645,22.928060265598088,5.692675379998442,0.04685814378486164,0.04685814378486164,30.51358675671121,30.51358675671121,30.51358675671121,30.51358675671121,30.51358675671121,30.51358675671121,30.51358675671121,30.51358675671121,30.51358675671121,30.51358675671121,5.720872788258113,0.9460035026937292,12.394728086613446,29.03247350691885,21.1733842967645,6.5537499367003,21.292055961792027,25.597245362595373,25.597245362595373,41.28546290501305,25.329206519325577,0.0,3.5356626367223436,27.78601806021255,3.7895754305780796,26.45779812189116,17.168666056489602,17.168666056489602,24.33340006487957,27.6984933467123,20.16510004516745,5.807033810019493,2.769686491776635,2.573923186288364,33.64625096921472,33.64625096921472,33.64625096921472,33.64625096921472,33.64625096921472,33.64625096921472,33.64625096921472,33.64625096921472,21.1733842967645,21.1733842967645,22.224782135472566,21.334747372632442,27.341922493084624,63.74592665840967,63.74592665840967,63.74592665840967,63.74592665840967,63.74592665840967,63.74592665840967,22.278257055731785,24.33340006487957,1.5033528342627098,12.222633804283713,8.498725855884993,21.880418689009073,21.64157254976639,33.119336707911636,40.59577042563022,40.59577042563022,28.890928458476417,28.890928458476417,8.237720065833868,12.900272188627204,24.350197662391523,24.350197662391523,24.350197662391523,24.350197662391523,3.0294722072456195,27.079695826018423,32.95179386564356,4.641125971424406,6.321555015876674,1.0073896880599036,0.0,0.0,1.387955028380173,4.3832774849473575,0.10968219145484594,4.242571603965716,24.33340006487957,7.351107908458705,2.304275247325068,24.229309975852573,0.0,21.1733842967645,12.793574412750159,23.679538382433247,0.3411160966624385,25.925122880169017,8.818695832929317,25.925122880169017,13.422378054477168,13.422378054477168,4.3014187796392305
Astrocytes;brain_TRUE,18.960454444418218,59.95098069210158,19.98784571854156,19.98784571854156,19.98784571854156,19.98784571854156,19.98784571854156,19.98784571854156,19.98784571854156,9.085311667370629,6.647490595361752,6.647490595361752,1.353481971417312,49.334720373774566,1.8738478142078276,0.6304931640625,23.264104530249757,6.637221074085339,13.318798252527978,13.318798252527978,0.3661342426030724,19.010124781194868,6.242960685008222,12.90765960179959,8.510344364072402,14.986333185233416,1.5491076716075272,0.0,0.07225044770166278,14.085362807235303,2.9839928085846754,0.0,0.0,0.0,0.0,0.0,0.0,24.13258408765412,24.13258408765412,14.325896274570066,14.325896274570066,14.325896274570066,14.325896274570066,14.325896274570066,14.325896274570066,14.986333185233416,14.986333185233416,4.210515799386754,0.6094637844297621,0.6094637844297621,28.3882112203735,28.3882112203735,28.3882112203735,28.3882112203735,28.3882112203735,28.3882112203735,28.3882112203735,28.3882112203735,28.3882112203735,28.3882112203735,4.601290367095283,0.5330977436603495,4.628617912392925,21.137260146214867,14.986333185233416,4.266529540289883,23.264104530249757,16.72325050389325,16.72325050389325,34.61641353868914,9.679414867996927,0.0,0.49467123630974025,20.66245334552325,0.8424129432791637,13.267970011670347,8.510344364072402,8.510344364072402,9.744953863923676,25.053940634208697,9.580818399795573,4.508345478421284,5.691259916466488,0.07225044770166278,18.906421989443952,18.906421989443952,18.906421989443952,18.906421989443952,18.906421989443952,18.906421989443952,18.906421989443952,18.906421989443952,14.986333185233416,14.986333185233416,22.71391862435525,14.986333185233416,18.15342150734203,35.41902517572183,35.41902517572183,35.41902517572183,35.41902517572183,35.41902517572183,35.41902517572183,8.016203940518336,9.744953863923676,3.061776958871633,5.838772804053775,5.862274194623481,20.9359391156791,20.747471639869257,27.57197368334703,20.77237704899852,20.77237704899852,9.459563441488338,9.459563441488338,7.147580166243844,7.739624592238451,9.83905649408472,9.83905649408472,9.83905649408472,9.83905649408472,4.001243929206222,44.958662522680775,19.010124781194868,8.076346578514116,15.48710162336593,0.04213208332657814,0.0,0.0,2.0053739899691814,1.7451431510487088,0.4728296350825716,1.1610740150014558,9.744953863923676,7.073781792695322,0.0,25.770213147349377,0.0,14.986333185233416,4.060932704639897,22.71391862435525,0.0,24.13258408765412,7.03489181015606,24.13258408765412,9.240709554218617,9.240709554218617,0.4161330693297916
B_cells;adipose_tissue_TRUE,14.39494150563328,11.601693324202776,67.91865162356166,67.91865162356166,67.91865162356166,67.91865162356166,67.91865162356166,67.91865162356166,67.91865162356166,6.155608377503752,5.74103592496961,5.74103592496961,11.694640721372094,14.08514808819617,2.3954044740094385,0.0,19.10295336621747,7.13479512502118,9.760098670517777,9.760098670517777,0.6071051655764296,31.08191033571901,7.881126790022143,45.103176221689345,31.74273908207182,16.359876387043784,15.47583403423974,0.0,9.791447596915196,12.17171588600371,14.385993679378878,0.0,0.0,0.0,0.0,0.0,0.0,25.012399651831547,25.012399651831547,53.11357737797706,53.11357737797706,53.11357737797706,53.11357737797706,53.11357737797706,53.11357737797706,16.359876387043784,16.359876387043784,2.183798428646402,0.0,0.0,39.01031321601544,39.01031321601544,39.01031321601544,39.01031321601544,39.01031321601544,39.01031321601544,39.01031321601544,39.01031321601544,39.01031321601544,39.01031321601544,6.735271254188322,2.835085203596579,9.207439783700385,21.678663611842723,16.359876387043784,6.916914575426393,19.10295336621747,15.129915136930052,15.129915136930052,35.568064149016934,25.867503238206652,0.0,1.846380114304135,17.20763459245393,15.610892288566266,42.711476822407036,31.74273908207182,31.74273908207182,39.181159311234374,25.274008458307975,10.139440246959987,4.171761913049198,5.673021192294554,10.05048683478079,44.281936540367056,44.281936540367056,44.281936540367056,44.281936540367056,44.281936540367056,44.281936540367056,44.281936540367056,44.281936540367056,16.359876387043784,16.359876387043784,35.99955486675621,16.77682795242796,47.60200365579656,45.21264313147017,45.21264313147017,45.21264313147017,45.21264313147017,45.21264313147017,45.21264313147017,15.964687910763573,39.181159311234374,2.5953969992553683,5.770174474834046,5.3551804626033945,23.159804601688837,22.9032917792742,26.800228427097863,41.18966269721358,41.18966269721358,27.621561508015635,27.621561508015635,6.580330860910503,35.05830539228944,39.181159311234374,39.181159311234374,39.181159311234374,39.181159311234374,2.702636072142965,17.62946283527307,31.08191033571901,2.185430336691554,4.04276747330449,0.5224247003666813,0.0,0.0,1.3501417664290625,1.6142717071724535,0.0,1.1103910863514352,39.181159311234374,26.180977534868813,0.45447993829760247,37.13133506060566,0.13783596232102785,16.359876387043784,15.24373233882506,35.99955486675621,0.1761534882992908,25.012399651831547,5.024185132192222,25.012399651831547,17.592470575095316,17.592470575095316,1.097120872294972
B_cells;bone_marrow_TRUE,16.858296998607166,10.388684085739609,48.6782912943851,48.6782912943851,48.6782912943851,48.6782912943851,48.6782912943851,48.6782912943851,48.6782912943851,9.011070452799851,7.88395024116405,7.88395024116405,4.273141845468093,11.624178972984241,3.006528587969528,0.01979902759194374,24.448146280070596,6.460931794548577,7.372704582034864,7.372704582034864,0.34338250756263733,21.44266793402759,6.387453690594569,23.147000875408676,26.670178225094624,13.536069131001241,4.451732609929008,0.0,2.550449004227465,18.361526393331587,5.745837510372935,0.0,0.0,0.0,0.0,0.0,0.0,21.816906331276353,21.816906331276353,48.64921261133117,48.64921261133117,48.64921261133117,48.64921261133117,48.64921261133117,48.64921261133117,13.536069131001241,13.536069131001241,1.8696078695145182,0.41103885585272854,0.41103885585272854,24.686627422544092,24.686627422544092,24.686627422544092,24.686627422544092,24.686627422544092,24.686627422544092,24.686627422544092,24.686627422544092,24.686627422544092,24.686627422544092,4.188146008347923,0.5118724606423215,5.094589359677312,16.98885873574975,13.536069131001241,8.635311828333545,24.448146280070596,22.124403071166437,22.124403071166437,26.088893466883086,18.059283431280747,0.0,1.4897523908452555,14.68290899372236,5.069809024306861,46.204457091336906,26.670178225094624,26.670178225094624,41.68498870120807,22.095282997258685,11.760969794524666,4.42985266235403,3.8311703288504346,2.550449004227465,42.49451603537255,42.49451603537255,42.49451603537255,42.49451603537255,42.49451603537255,42.49451603537255,42.49451603537255,42.49451603537255,13.536069131001241,13.536069131001241,19.522779702462934,13.703205546840437,45.12001016058705,36.29788049987771,36.29788049987771,36.29788049987771,36.29788049987771,36.29788049987771,36.29788049987771,14.862602591387589,41.68498870120807,3.4660133302889085,6.959637394767594,4.956205602057956,18.100049480965193,18.03945762681013,18.335818026299503,29.372167791155256,29.372167791155256,24.456982855092395,24.456982855092395,5.250792276114225,23.694733354178343,41.68498870120807,41.68498870120807,41.68498870120807,41.68498870120807,0.6643667221069336,19.07631910702383,21.44266793402759,2.354513056237589,2.6312734460966154,0.249397411942482,0.0,0.0,1.8277253287590363,0.6012644046409563,0.19311314821243286,2.831015984951095,41.68498870120807,17.759742886505343,0.033330176025629044,23.34920641847632,0.35003693198615854,13.536069131001241,8.744365694678642,19.522779702462934,0.0,21.816906331276353,5.12596551455896,21.816906331276353,11.369985041039236,11.369985041039236,1.9162085141817278
B_cells;breast_TRUE,6.653279948979616,4.1682739313691854,7.658880732953548,7.658880732953548,7.658880732953548,7.658880732953548,7.658880732953548,7.658880732953548,7.658880732953548,3.413639262318611,3.389022038318217,3.389022038318217,0.0988067053258419,2.0904988441616297,0.0,0.0,25.922684207558632,0.11659164726734161,4.380151022225618,4.380151022225618,0.0,9.682561375200748,9.654804289340973,4.891557793132961,4.785235334187746,5.50191705673933,0.0,0.0,0.0,5.392998760566115,3.7210382726043463,0.0,0.0,0.0,0.0,0.0,0.0,11.556672979146242,11.556672979146242,11.024406425654888,11.024406425654888,11.024406425654888,11.024406425654888,11.024406425654888,11.024406425654888,5.426149748265743,5.426149748265743,0.4804357849061489,0.0,0.0,6.591674622148275,6.591674622148275,6.591674622148275,6.591674622148275,6.591674622148275,6.591674622148275,6.591674622148275,6.591674622148275,6.591674622148275,6.591674622148275,0.12205599620938301,0.0,9.010448321700096,7.544724870473146,5.426149748265743,6.745386564172804,25.922684207558632,12.268138775601983,12.268138775601983,14.392760701477528,3.4237048104405403,0.0,0.0,7.4975636675953865,0.011157889850437641,8.971152681857347,4.785235334187746,4.785235334187746,5.815356809645891,12.540437053889036,6.369602452963591,0.8939972519874573,0.6079650400206447,0.0,10.495273385196924,10.495273385196924,10.495273385196924,10.495273385196924,10.495273385196924,10.495273385196924,10.495273385196924,10.495273385196924,5.426149748265743,5.426149748265743,5.345714349299669,5.438986015506089,7.67682980094105,10.498491447418928,10.498491447418928,10.498491447418928,10.498491447418928,10.498491447418928,10.498491447418928,1.302016499452293,5.815356809645891,3.4581730663776398,0.6353784389793873,0.22880183905363083,7.823897450231016,7.823897450231016,2.143321916460991,11.063260146882385,11.063260146882385,5.19287845864892,5.19287845864892,4.101094711571932,1.5798006030963734,5.815356809645891,5.815356809645891,5.815356809645891,5.815356809645891,0.3366357982158661,10.114996045827866,9.682561375200748,0.15089362859725952,0.7614985518157482,0.0,0.0,0.0,0.1894809752702713,0.4373641759157181,0.0,0.34498766995966434,5.815356809645891,4.507539492100477,0.6560882478952408,10.893871709704399,0.0,5.426149748265743,1.1892984583973885,5.345714349299669,0.0,11.556672979146242,0.9337449334561825,11.556672979146242,4.093246286734939,4.093246286734939,0.7587263211607933
B_cells;liver_TRUE,12.223410696063826,8.500460562852735,56.664209111071216,56.664209111071216,56.664209111071216,56.664209111071216,56.664209111071216,56.664209111071216,56.664209111071216,3.4025755338370796,2.879438212277686,2.879438212277686,6.366947207645309,11.554621903770943,1.9490731343990417,0.0,16.567755235222783,4.673411337795055,5.811384416389757,5.811384416389757,0.12728106721145352,19.204636058883697,8.925746353661141,31.85986122370857,21.104814353512555,11.4583719025207,13.492666527992341,0.0,9.038047285705078,11.745764168524524,6.550048531373827,0.0,0.0,0.0,0.0,0.0,0.0,21.377318551218732,21.377318551218732,40.328363373875625,40.328363373875625,40.328363373875625,40.328363373875625,40.328363373875625,40.328363373875625,11.4583719025207,11.4583719025207,0.6643690888474628,0.0,0.0,28.962457495673398,28.962457495673398,28.962457495673398,28.962457495673398,28.962457495673398,28.962457495673398,28.962457495673398,28.962457495673398,28.962457495673398,28.962457495673398,4.7329461724928965,2.0888146185884024,4.307999098241875,16.145025765568747,11.4583719025207,6.270513534364177,16.567755235222783,12.967258137355492,12.967258137355492,25.51398073681972,17.548121892824405,0.0,1.3168817155244874,12.822429084741486,13.080819078198658,34.98083598439287,21.104814353512555,21.104814353512555,33.84528922743914,21.628496628300088,6.217693631877986,3.149655044805713,4.074677658153743,9.286819640456176,38.74996135983524,38.74996135983524,38.74996135983524,38.74996135983524,38.74996135983524,38.74996135983524,38.74996135983524,38.74996135983524,11.4583719025207,11.4583719025207,25.414238739122702,11.4583719025207,39.570290654170805,36.263546595486204,36.263546595486204,36.263546595486204,36.263546595486204,36.263546595486204,36.263546595486204,14.255073645220296,33.84528922743914,4.683305700468581,2.8856004743223513,2.8372607721788126,16.660696316146993,16.64563288367012,18.714808404173066,27.768769145193623,27.768769145193623,23.69747405971696,23.69747405971696,3.588284537923045,25.61397305040098,33.84528922743914,33.84528922743914,33.84528922743914,33.84528922743914,0.989971151802598,13.147425214146697,19.204636058883697,0.35211222930016317,2.0297534479418906,0.17116290567124762,0.0,0.0,0.7004390084525434,0.7348156691324421,0.0,0.3171802628331068,33.84528922743914,21.258894185104023,0.29345883538083334,27.37445309103989,0.12786961873856986,11.4583719025207,7.458606251674455,25.414238739122702,0.0,21.377318551218732,3.780528533613173,21.377318551218732,12.147808142778713,12.147808142778713,0.9869397878646851
B_cells;lung_TRUE,7.690056612836447,7.269207912213542,46.68863885441501,46.68863885441501,46.68863885441501,46.68863885441501,46.68863885441501,46.68863885441501,46.68863885441501,4.933357642435423,4.486169170167198,4.486169170167198,4.364685928905776,11.001885524312197,0.16097575426101685,0.0,19.333047096471223,3.6021449053338888,7.4075548734044885,7.4075548734044885,0.0,18.331380883053345,5.162456120995955,22.08208604823527,16.91552053320568,11.642405552011681,10.341971090270414,0.0,7.2547642814702,8.80236563346281,9.220627296473332,0.0,0.0,0.0,0.0,0.0,0.0,21.706202972484075,21.706202972484075,29.097332184798873,29.097332184798873,29.097332184798873,29.097332184798873,29.097332184798873,29.097332184798873,11.56721883594019,11.56721883594019,0.4317869175211223,0.0,0.0,22.63339720613598,22.63339720613598,22.63339720613598,22.63339720613598,22.63339720613598,22.63339720613598,22.63339720613598,22.63339720613598,22.63339720613598,22.63339720613598,3.2919253179396706,0.9952682456522608,7.199312147962722,14.663880291155813,11.56721883594019,2.234751763318262,19.333047096471223,13.902104259707688,13.902104259707688,27.14978744894609,13.795291926383518,0.0,1.087664885681936,12.491458748349514,7.534148350479331,23.26478031888547,16.91552053320568,16.91552053320568,22.374300398860285,22.92900429310998,9.358479875364694,2.8291285037994385,3.656350803072653,7.416993316419965,30.93836291870852,30.93836291870852,30.93836291870852,30.93836291870852,30.93836291870852,30.93836291870852,30.93836291870852,30.93836291870852,11.56721883594019,11.56721883594019,20.456414326911233,11.56721883594019,33.22943394485562,25.026105533214814,25.026105533214814,25.026105533214814,25.026105533214814,25.026105533214814,25.026105533214814,8.39574371769282,22.374300398860285,5.401645020863676,2.9612150537099873,2.058071449456087,16.05776633522063,16.05776633522063,15.655593199134442,25.293327633998004,25.293327633998004,18.521916199518348,18.521916199518348,3.5125872502495956,21.06936438217709,22.374300398860285,22.374300398860285,22.374300398860285,22.374300398860285,1.4983331662713337,14.708999931962154,18.331380883053345,0.7592028931703888,1.7556828038331649,0.0587860569357872,0.0,0.0,0.3384341869032246,0.5167985650999792,0.0,0.0,22.374300398860285,17.926396775591076,0.0,23.346198070840735,0.0,11.56721883594019,5.814422530403996,20.456414326911233,0.0,21.706202972484075,1.4236933605823936,21.706202972484075,11.806011253889377,11.806011253889377,0.7226821184158325
B_cells;muscle_organ_TRUE,7.925447263873946,7.306642636151711,23.67882406748691,23.67882406748691,23.67882406748691,23.67882406748691,23.67882406748691,23.67882406748691,23.67882406748691,4.04395506400755,3.867488998205478,3.867488998205478,1.5594531643568517,7.495912573387832,0.16097575426101685,0.0,23.692107688677602,1.455137894040716,5.298881622773588,5.298881622773588,0.0,16.758159118431408,7.226245295942613,14.325659600380611,9.918432127768384,9.146609710963595,4.775707113549561,0.0,3.235173191987258,7.317078788995854,7.872348320551385,0.0,0.0,0.0,0.0,0.0,0.0,19.84272602349835,19.84272602349835,19.011989329822526,19.011989329822526,19.011989329822526,19.011989329822526,19.011989329822526,19.011989329822526,9.071127241995548,9.071127241995548,0.32918938621878624,0.0,0.0,16.77906476325335,16.77906476325335,16.77906476325335,16.77906476325335,16.77906476325335,16.77906476325335,16.77906476325335,16.77906476325335,16.77906476325335,16.77906476325335,2.534347284613247,1.004008168116548,9.219815122705876,11.99391428526855,9.071127241995548,6.4038260638839875,23.692107688677602,17.377712807344984,17.377712807344984,24.73642575953688,6.713123393420101,0.0,0.612819089568255,11.431187014060471,4.9192260982839855,15.134436659823011,9.918432127768384,9.918432127768384,12.096255258453969,20.826490098241145,7.702002386541519,2.974414736032486,2.9287702096626163,3.401889679169184,21.40932766103039,21.40932766103039,21.40932766103039,21.40932766103039,21.40932766103039,21.40932766103039,21.40932766103039,21.40932766103039,9.071127241995548,9.071127241995548,14.40967715334119,9.071127241995548,21.12535028921482,19.930245411015097,19.930245411015097,19.930245411015097,19.930245411015097,19.930245411015097,19.930245411015097,5.006063651937739,12.096255258453969,5.453007732546027,2.4859354900882433,1.759691836424452,14.398233890134309,14.398233890134309,9.294170806884653,19.94085725648959,19.94085725648959,12.153014775253551,12.153014775253551,4.598996435817247,9.599575469435782,12.096255258453969,12.096255258453969,12.096255258453969,12.096255258453969,1.5038578459866963,11.066967393268122,16.758159118431408,0.7867224582898101,1.420009403160416,0.0587860569357872,0.0,0.0,0.32509495729678556,0.7650249369610521,0.0,0.34498766995966434,12.096255258453969,10.432064724623933,0.6560882478952408,17.462178466575487,0.0,9.071127241995548,2.653522592458062,14.40967715334119,0.0,19.84272602349835,0.983597132517375,19.84272602349835,10.273520827279391,10.273520827279391,1.4814084395766258
B_cells;spleen_TRUE,10.6657865762676,5.896734999903057,68.03239692111701,68.03239692111701,68.03239692111701,68.03239692111701,68.03239692111701,68.03239692111701,68.03239692111701,7.050881063771157,6.624117672528065,6.624117672528065,9.09911310902933,9.319894381640033,0.16050362691135728,0.0,17.287239908817874,4.102381402092572,7.825562335035446,7.825562335035446,0.43500497134248295,21.0390837480789,4.294466044474723,28.665285798858847,21.35635045303808,12.372952912763294,11.961676783630285,0.0,7.607116778016629,7.826777802828755,6.884581898250889,0.0,0.0,0.0,0.0,0.0,0.0,24.872577956618727,24.872577956618727,37.086349718362825,37.086349718362825,37.086349718362825,37.086349718362825,37.086349718362825,37.086349718362825,12.372952912763294,12.372952912763294,2.641704097871827,0.0,0.0,18.994624678323667,18.994624678323667,18.994624678323667,18.994624678323667,18.994624678323667,18.994624678323667,18.994624678323667,18.994624678323667,18.994624678323667,18.994624678323667,2.930409885423499,0.6843420860622651,4.630943512691309,18.602431159366574,12.372952912763294,5.551234020536179,17.287239908817874,10.572086473885703,10.572086473885703,29.31139478352198,19.460072157494558,0.0,0.7171894004826811,15.498035925160089,15.357611664339718,29.16343263383546,21.35635045303808,21.35635045303808,27.36823232073692,25.236249190924884,8.210198918426462,3.9756979889476654,4.12196962273705,7.607116778016629,35.640794839179634,35.640794839179634,35.640794839179634,35.640794839179634,35.640794839179634,35.640794839179634,35.640794839179634,35.640794839179634,12.372952912763294,12.372952912763294,16.929990804704005,12.372952912763294,38.39975411676077,28.611254467431657,28.611254467431657,28.611254467431657,28.611254467431657,28.611254467431657,28.611254467431657,17.174718585504046,27.36823232073692,5.748998288006013,6.096225411014876,3.0424494177950256,18.083959689672724,18.083959689672724,11.752142944136576,28.48372313664134,28.48372313664134,24.115105586275995,24.115105586275995,3.8163605403272545,34.127612459134035,27.384316709715204,27.384316709715204,27.384316709715204,27.384316709715204,1.4036988312294079,13.453882582119885,21.0390837480789,0.5640096340175265,1.8484802277121144,0.24760166928035537,0.0,0.0,0.7184234201028574,1.2629731089098886,0.10872220290868248,1.0182045836602107,27.36823232073692,23.352910275135265,0.0,25.391346370944046,0.022386290796750277,12.372952912763294,8.023538763707132,16.982923898311903,0.11915880816061196,24.872577956618727,2.259000786781024,24.872577956618727,12.578233513331469,12.578233513331469,1.3776535074955296
Basal_cells;breast_TRUE,18.28812470256973,13.330962397728124,24.44861351714553,24.44861351714553,24.44861351714553,24.44861351714553,24.44861351714553,24.44861351714553,24.44861351714553,13.005249939583603,10.602834573204845,10.602834573204845,9.237611125234093,14.985502266746625,2.6364429050682254,0.0,21.305497406502777,12.048742523472798,25.425878472798278,25.425878472798278,0.16095777777374204,15.761986190534907,3.6783103146783875,16.99949394012253,8.46124532635971,20.00431634409904,3.083386293448955,0.0,0.9138873487573296,12.80799398747516,4.7124329765024005,0.0,0.0,0.0,0.0,0.0,0.0,25.490663265310424,25.490663265310424,18.734728120589207,18.734728120589207,18.734728120589207,18.734728120589207,18.734728120589207,18.734728120589207,20.00431634409904,20.562440671713908,4.079022983037469,0.9610528752517481,0.9610528752517481,25.018051553552,25.018051553552,25.018051553552,25.018051553552,25.018051553552,25.018051553552,25.018051553552,25.018051553552,25.018051553552,25.018051553552,3.5733709040057025,0.6325253933736964,13.587543372349279,25.735702528930155,20.00431634409904,4.455657140666934,21.305497406502777,35.56690863150657,35.56690863150657,27.581774343213812,10.971650654544696,0.0,0.07178438563269775,14.22841842231576,4.702183350318436,17.708770664048533,8.46124532635971,8.46124532635971,17.66368427749306,27.609823348680322,18.223221919161652,5.361689628349234,4.992310799099075,0.9138873487573296,17.747472260349515,17.747472260349515,17.747472260349515,17.747472260349515,17.747472260349515,17.747472260349515,17.747472260349515,17.747472260349515,20.00431634409904,20.00431634409904,22.871486262321543,21.028393263594133,18.343438002719665,23.71665979516784,23.71665979516784,23.71665979516784,23.71665979516784,23.71665979516784,23.71665979516784,12.739763525185579,17.66368427749306,6.92025634067404,7.651945708264697,11.413838225462007,33.21076927742734,33.21076927742734,8.174723662164999,18.986720808856962,18.986720808856962,8.606142724625439,8.606142724625439,16.14605521762154,7.676340377711052,17.66368427749306,17.66368427749306,17.66368427749306,17.66368427749306,0.2957732421700901,21.23068133988966,15.761986190534907,2.645130495568759,2.392498095990879,0.06239513354268415,0.0,0.3839515462070359,2.3714699544583597,1.3804490680019392,0.5767078979100009,5.436438472605984,17.66368427749306,9.08592601419549,0.25951358307729416,28.427753163798442,0.6245786844135431,20.00431634409904,2.8107648216205163,22.871486262321543,0.0,25.490663265310424,17.084273740571792,25.490663265310424,14.899763561620682,14.899763561620682,0.9683976068051735
